date,price
2016.12.13,11175
2016.12.14,11195
2016.12.15,11200
2016.12.16,11240
2016.12.19,11245
2016.12.20,11300
2016.12.21,11265
2016.12.22,11255
2016.12.23,11225
2016.12.26,11240
2016.12.27,11260
2016.12.28,11355
2016.12.29,11365
2017.1.2,11440
2017.1.3,11625
2017.1.4,11645
2017.1.5,11580
2017.1.6,11675
2017.1.9,11735
2017.1.10,11705
2017.1.11,12135
2017.1.12,12190
2017.1.13,12130
2017.1.16,11985
2017.1.17,12070
2017.1.18,12060
2017.1.19,12085
2017.1.20,12030
2017.1.23,12010
2017.1.24,12035
2017.1.25,12115
2017.1.26,12320
2017.1.31,12170
2017.2.1,12255
2017.2.2,12140
2017.2.3,12175
2017.2.6,12230
2017.2.7,12180
2017.2.8,12075
2017.2.9,12100
2017.2.10,12155
2017.2.13,12155
2017.2.14,12100
2017.2.15,12165
2017.2.16,12160
2017.2.17,12160
2017.2.20,12235
2017.2.21,12455
2017.2.22,12505
2017.2.23,12510
2017.2.24,12315
2017.2.27,12225
2017.2.28,12255
2017.3.2,12475
2017.3.3,12235
2017.3.6,12270
2017.3.7,12400
2017.3.8,12440
2017.3.9,12385
2017.3.10,12435
2017.3.13,12700
2017.3.14,12920
2017.3.15,12950
2017.3.16,13135
2017.3.17,13265
2017.3.20,13230
2017.3.21,13475
2017.3.22,13370
2017.3.23,13410
2017.3.24,13365
2017.3.27,13195
2017.3.28,13265
2017.3.29,13330
2017.3.30,13310
2017.3.31,13265
2017.4.3,13325
2017.4.4,13255
2017.4.5,13210
2017.4.6,13095
2017.4.7,13065
2017.4.10,12905
2017.4.11,12790
2017.4.12,12805
2017.4.13,13055
2017.4.14,12930
2017.4.17,13000
2017.4.18,12995
2017.4.19,12870
2017.4.20,12955
2017.4.21,13195
2017.4.24,13320
2017.4.25,13600
2017.4.26,13750
2017.4.27,13815
2017.4.28,13825
2017.5.2,14055
2017.5.4,14335
2017.5.8,15070
2017.5.10,14765
2017.5.11,15080
2017.5.12,14940
2017.5.15,15030
2017.5.16,15070
2017.5.17,15040
2017.5.18,14975
2017.5.19,14920
2017.5.22,15135
2017.5.23,15225
2017.5.24,15275
2017.5.25,15635
2017.5.26,15820
2017.5.29,15780
2017.5.30,15575
2017.5.31,15585
2017.6.1,15495
2017.6.2,15875
2017.6.5,15820
2017.6.7,15640
2017.6.8,15775
2017.6.9,16010
2017.6.12,15685
2017.6.13,15895
2017.6.14,15870
2017.6.15,15735
2017.6.19,15925
2017.6.20,15990
2017.6.21,15795
2017.6.22,16000
2017.6.23,16080
2017.6.26,16250
2017.6.27,16245
2017.6.28,16160
2017.6.29,16360
2017.6.30,16275
2017.7.3,16325
2017.7.4,16160
2017.7.5,16280
2017.7.6,16270
2017.7.7,16155
2017.7.10,16245
2017.7.11,16440
2017.7.12,16420
2017.7.13,16780
2017.7.14,16810
2017.7.17,16960
2017.7.18,16970
2017.7.19,16995
2017.7.20,17170
2017.7.21,17295
2017.7.24,17320
2017.7.25,17215
2017.7.26,17080
2017.7.27,17175
2017.7.28,16515
2017.7.31,16525
2017.8.1,16800
2017.8.2,16870
2017.8.3,16295
2017.8.4,16445
